CPU Name,CPU Mark (Higher is better),Rank (Lower is better),CPU Value (Higher is better),Price (USD)
Intel Xeon E-2176G @ 3.70GHz,"13,698",369,32.52,$421.22 
AMD Ryzen 5 PRO 2600,"13,575",370,NA,NA
Intel Core i7-9700F @ 3.00GHz,"13,540",371,48.01,$282.00 
AMD Ryzen 5 5500U,"13,518",372,NA,NA
Intel Xeon E-2136 @ 3.30GHz,"13,506",373,43.57,$309.99 
Intel Xeon E5-2658 v3 @ 2.20GHz,"13,487",374,NA,NA
Intel Core i7-9700 @ 3.00GHz,"13,481",375,45.55,$295.99 
Intel Xeon E5-2690 v2 @ 3.00GHz,"13,406",376,78.86,$169.99 
Intel Xeon E5-1660 v4 @ 3.20GHz,"13,395",377,8.94,"$1,499.00*"
Intel Xeon E5-2695 v2 @ 2.40GHz,"13,382",378,64.34,$208.00 
Intel Core i5-11400T @ 1.30GHz,"13,367",379,73.44,$182.00*
AMD Ryzen 5 3500X,"13,366",380,68.21,$195.95 
Intel Xeon E-2146G @ 3.50GHz,"13,333",381,39.75,$335.40 
Intel Xeon E-2276G @ 3.80GHz,"13,300",382,22.25,$597.87 
Intel Core i5-10500 @ 3.10GHz,"13,248",383,43.93,$301.58 
Intel Core i7-10700T @ 2.00GHz,"13,231",384,41.48,$319.00*
Intel Xeon W-10855M @ 2.80GHz,"13,217",385,29.37,$450.00*
AMD Ryzen 5 2600,"13,215",386,73.42,$179.99 
Intel Xeon D-2143IT @ 2.20GHz,"13,107",387,23.16,$566.00*
Intel Core i7-8700 @ 3.20GHz,"13,084",388,38.87,$336.60 
Intel Xeon E5-1680 v3 @ 3.20GHz,"13,081",389,22.17,$589.99*
AMD Ryzen 5 1600X,"13,047",390,96.6,$135.06 
Intel Xeon E5-2660 v3 @ 2.60GHz,"13,007",391,77.34,$168.17 
AMD Ryzen 5 PRO 4650U,"12,977",392,NA,NA
Intel Xeon E5-4627 v4 @ 2.60GHz,"12,969",393,12.97,$999.99*
Intel Xeon E5-2685 v3 @ 2.60GHz,"12,944",394,NA,NA
AMD Ryzen 5 3500,"12,899",395,NA,NA
Intel Xeon E5-2618L v4 @ 2.20GHz,"12,885",396,18.87,$682.67 
Intel Core i7-7800X @ 3.50GHz,"12,786",397,79.92,$159.99 
Intel Core i7-8700B @ 3.20GHz,"12,754",398,42.09,$303.00*
AMD Ryzen 3 3300X,"12,750",399,36.33,$351.00*
Intel Xeon E5-2667 v3 @ 3.20GHz,"12,734",400,57.9,$219.95*
Intel Core i7-5960X @ 3.00GHz,"12,665",401,33.23,$381.09 
Intel Core i7-11375H @ 3.30GHz,"12,610",402,26.16,$482.00*
Intel Xeon E5-2680 v2 @ 2.80GHz,"12,601",403,85.04,$148.19 
Intel Xeon Silver 4114 @ 2.20GHz,"12,581",404,17,$739.95 
Intel Core i7-10750H @ 2.60GHz,"12,539",405,NA,NA
Intel Core i7-11370H @ 3.30GHz,"12,537",406,29.43,$426.00*
Intel Xeon E5-4657L v2 @ 2.40GHz,"12,495",407,16.63,$751.19 
Intel Core i5-10400F @ 2.90GHz,"12,467",408,69.65,$178.99 
Intel Core i5-10400 @ 2.90GHz,"12,403",409,47.59,$260.64 
Intel Xeon E5-1680 v2 @ 3.00GHz,"12,389",410,NA,NA
AMD Ryzen 5 1600,"12,353",411,73.92,$167.11*
Intel Xeon E-2276M @ 2.80GHz,"12,278",412,27.29,$450.00*
Intel Core i7-10850H @ 2.70GHz,"12,252",413,31.02,$395.00*
Intel Xeon E5-2687W v2 @ 3.40GHz,"12,240",414,28.32,$432.19 
Intel Xeon E5-2650 v4 @ 2.20GHz,"12,225",415,16.32,$749.00*
Intel Xeon E5-2667 v2 @ 3.30GHz,"12,206",416,69.77,$174.95 
Intel Xeon W-2133 @ 3.60GHz,"12,181",417,19.74,$617.00*
Intel Xeon D-2141I @ 2.20GHz,"12,177",418,21.94,$555.00*
Intel Xeon E5-2692 v2 @ 2.20GHz,"12,119",419,NA,NA
AMD Ryzen 3 5400U,"12,110",420,NA,NA
Intel Core i5-10500H @ 2.50GHz,"12,097",421,48.39,$250.00*
AMD Ryzen 5 PRO 4500U,"12,049",422,NA,NA
AMD Ryzen 3 PRO 5450U,"12,047",423,NA,NA
Intel Xeon E-2278GEL @ 2.00GHz,"12,024",424,24.34,$494.00*
Intel Xeon E5-2675 v3 @ 1.80GHz,"11,960",425,NA,NA
Intel Xeon E5-2673 v2 @ 3.30GHz,"11,919",426,NA,NA
Intel Xeon E5-2650L v4 @ 1.70GHz,"11,918",427,17.03,$700.00 
Intel Xeon E5-2650 v3 @ 2.30GHz,"11,907",428,72.93,$163.27 
Intel Core i5-10600T @ 2.40GHz,"11,871",429,55.73,$213.00*
Intel Core i7-9700E @ 2.60GHz,"11,869",430,36.75,$323.00*
Intel Core i5-10505 @ 3.20GHz,"11,853",431,NA,NA
Intel Xeon E5-2649 v3 @ 2.30GHz,"11,796",432,NA,NA
Intel Xeon E5-2663 v3 @ 2.80GHz,"11,777",433,NA,NA
AMD Ryzen 3 3100,"11,719",434,42.42,$276.25*
Intel Xeon E5-2650L v3 @ 1.80GHz,"11,711",435,60.07,$194.95 
Intel Xeon D-2146NT @ 2.30GHz,"11,704",436,18.26,$641.00*
Intel Xeon E5-2630 v4 @ 2.20GHz,"11,691",437,31.18,$374.95 
Intel Core i7-1185G7E @ 2.80GHz,"11,645",439,27.02,$431.00*
Intel Xeon D-1577 @ 1.30GHz,"11,645",438,9.9,"$1,176.00*"
Intel Core i7-9850H @ 2.60GHz,"11,640",440,8.91,"$1,305.76*"
Intel Xeon E5-1660 v3 @ 3.00GHz,"11,617",441,29.12,$398.95*
Intel Core i7-9750HF @ 2.60GHz,"11,591",442,29.34,$395.00*
AMD Ryzen 3 4300GE,"11,588",443,NA,NA
Intel Xeon E5-2648L v4 @ 1.80GHz,"11,547",444,NA,NA
Intel Xeon E5-4669 v4 @ 2.20GHz,"11,523",445,NA,NA
Intel Core i5-1145G7E @ 2.60GHz,"11,488",446,36.82,$312.00*
Intel Xeon E5-2640 v4 @ 2.40GHz,"11,482",447,22.96,$500.00 
Intel Xeon E5-2670 v2 @ 2.50GHz,"11,467",448,88.21,$130.00 
AMD Ryzen 3 PRO 4350GE,"11,420",449,NA,NA
Intel Xeon E5-4627 v3 @ 2.60GHz,"11,344",450,4.73,"$2,400.00*"
AMD Ryzen 3 PRO 4200G,"11,315",451,NA,NA
Intel Core i7-9750H @ 2.60GHz,"11,299",452,11.77,$960.00*
Intel Core i7-6850K @ 3.60GHz,"11,276",453,32.32,$348.89 
Intel Xeon E5-1650 v4 @ 3.60GHz,"11,251",454,10.23,"$1,100.00 "
Intel Xeon W-2225 @ 4.10GHz,"11,226",455,21.93,$512.00 
AMD Ryzen 5 4500U,"11,220",456,NA,NA
Intel Core i5-11300H @ 3.10GHz,"11,182",457,36.19,$309.00*
Intel Xeon Silver 4208 @ 2.10GHz,"11,163",458,12.38,$901.92 
Intel Xeon E5-2643 v4 @ 3.40GHz,"11,152",459,10.72,"$1,039.95 "
Intel Xeon E-2226G @ 3.40GHz,"11,119",460,25.53,$435.46 
AMD Ryzen 3 4300G,"11,102",461,NA,NA
Intel Xeon E5-2640 v3 @ 2.60GHz,"11,088",462,93.18,$119.00 
Intel Xeon E5-2628L v4 @ 1.90GHz,"11,079",463,8.12,"$1,364.00*"
Apple A12X Bionic,"11,044",464,NA,NA
Intel Xeon E-2186M @ 2.90GHz,"11,024",465,17.7,$623.00*
AMD Ryzen 3 PRO 4200GE,"11,006",466,NA,NA
Intel Core i7-1160G7 @ 1.20GHz,"10,981",467,25.78,$426.00*
Intel Xeon E-2176M @ 2.70GHz,"10,978",468,24.39,$450.00*
Intel Core i7-1185G7 @ 3.00GHz,"10,949",469,25.7,$426.00*
Intel Core i9-8950HK @ 2.90GHz,"10,938",470,18.76,$583.00*
Intel Xeon E-2126G @ 3.30GHz,"10,922",471,36.9,$296.00 
AMD Ryzen 3 PRO 4350G,"10,889",472,NA,NA
Intel Xeon E5-2470 v2 @ 2.40GHz,"10,871",473,90.6,$119.99 
Intel Core i5-1145G7 @ 2.60GHz,"10,866",474,NA,NA
Intel Xeon E5-2630L v4 @ 1.80GHz,"10,864",475,43.98,$247.00 
Intel Core i5-9600KF @ 3.70GHz,"10,841",476,56.4,$192.21 
Intel Xeon E5-4650 v3 @ 2.10GHz,"10,838",477,2.82,"$3,838.00*"
Intel Core i5-9600K @ 3.70GHz,"10,817",478,54.09,$199.99 
Intel Core i7-8700T @ 2.40GHz,"10,813",479,37.42,$289.00*
AMD EPYC 3201,"10,762",480,NA,NA
Intel Core i7-9700TE @ 1.80GHz,"10,722",481,33.19,$323.00*
Intel Core i5-10500T @ 2.30GHz,"10,713",482,55.8,$192.00*
Intel Core i5-9600 @ 3.10GHz,"10,622",483,28.03,$379.00 
Intel Core i7-9700T @ 2.00GHz,"10,616",484,32.87,$323.00*
Intel Core i7-1165G7 @ 2.80GHz,"10,594",485,24.87,$426.00*
Intel Core i7-6800K @ 3.40GHz,"10,582",486,53.26,$198.69 
Intel Core i5-1140G7 @ 1.10GHz,"10,560",487,NA,NA
Intel Xeon E5-2643 v3 @ 3.40GHz,"10,529",488,4.21,"$2,499.95*"
Intel Xeon E5-4620 v3 @ 2.00GHz,"10,509",489,149.96,$70.08*
Intel Core i5-1130G7 @ 1.10GHz,"10,483",490,33.93,$309.00*
Intel Xeon E5-2660 v2 @ 2.20GHz,"10,482",491,136.13,$77.00 
Intel Xeon E5-2618L v3 @ 2.30GHz,"10,464",492,10.16,"$1,029.95*"
Intel Core i7-8850H @ 2.60GHz,"10,439",493,26.43,$395.00*
Intel Core i7-1068NG7 @ 2.30GHz,"10,436",494,24.5,$426.00*
AMD Ryzen 5 PRO 1600,"10,401",495,NA,NA
Intel Xeon E5-4640 v3 @ 1.90GHz,"10,372",496,NA,NA
Intel Xeon E5-1650 v3 @ 3.50GHz,"10,369",497,13.94,$744.04*
Intel Xeon Silver 4109T @ 2.00GHz,"10,348",498,20.65,$501.00*
Intel Core i5-9500F @ 3.00GHz,"10,285",499,44.72,$229.99 
Intel Xeon E5-2658 v2 @ 2.40GHz,"10,280",500,2.85,"$3,604.00*"
Intel Core i7-5930K @ 3.50GHz,"10,277",501,14.89,$690.30*
Intel Xeon E5-2630 v3 @ 2.40GHz,"10,240",502,133.02,$76.98 
ARM Neoverse-N1 16 Core 0 MHz,"10,231",503,NA,NA
Intel Xeon W-2125 @ 4.00GHz,"10,212",504,10.22,$998.95*
Intel Xeon E5-1660 v2 @ 3.70GHz,"10,190",505,30.15,$338.01 
AMD Ryzen 3 5300U,"10,164",506,NA,NA
Intel Xeon Silver 4110 @ 2.10GHz,"10,160",507,19.92,$509.99 
Intel Core i7-8750H @ 2.20GHz,"10,150",508,25.7,$395.00*
Intel Core i5-8600K @ 3.60GHz,"10,135",509,48.27,$209.99 
Intel Core i5-10400T @ 2.00GHz,"10,129",510,55.65,$182.00*
Intel Core i3-10320 @ 3.80GHz,"10,127",511,55.44,$182.65 
Intel Core i7-10710U @ 1.10GHz,"10,096",512,15.65,$644.99*
Intel Core i5-1135G7 @ 2.40GHz,"10,057",513,32.55,$309.00*
Intel Xeon E-2244G @ 3.80GHz,"9,986",514,24.11,$414.14 
Intel Xeon E5-2650 v2 @ 2.60GHz,"9,984",515,144.7,$69.00 
Intel Xeon E5-2690 @ 2.90GHz,"9,971",516,97.09,$102.70 
AMD Ryzen 3 PRO 4450U,"9,950",517,NA,NA
Intel Xeon E5-2628L v3 @ 2.00GHz,"9,949",518,NA,NA
Intel Core i7-4960X @ 3.60GHz,"9,943",519,5.37,"$1,850.00 "
Intel Core i5-8600 @ 3.10GHz,"9,860",520,39.44,$249.99 
Intel Xeon E5-2648L v3 @ 1.80GHz,"9,847",521,6.41,"$1,536.65*"
Intel Xeon E-2234 @ 3.60GHz,"9,818",522,33.28,$294.99*
Intel Core i7-5820K @ 3.30GHz,"9,813",523,24.53,$400.00 
Intel Core i7-7740X @ 4.30GHz,"9,809",524,39.88,$245.99*
Intel Xeon E5-2689 @ 2.60GHz,"9,766",525,53.44,$182.75*
Intel Core i5-9500 @ 3.00GHz,"9,739",526,38.96,$249.99 
Intel Core i5-1038NG7 @ 2.00GHz,"9,720",527,30.38,$320.00*
Intel Core i7-7700K @ 4.20GHz,"9,709",528,26.97,$359.99 
Intel Xeon E5-2687W @ 3.10GHz,"9,699",529,44.52,$217.84 
Intel Core i3-10305 @ 3.80GHz,"9,689",530,44.04,$219.99 
AMD Ryzen 5 3350GE,"9,684",531,NA,NA
Intel Xeon E-2276ME @ 2.80GHz,"9,680",532,21.51,$450.00*
AMD Ryzen 5 PRO 3350GE,"9,643",533,NA,NA
Intel Xeon E-2274G @ 4.00GHz,"9,639",534,28.86,$334.00*
Intel Core i5-8500 @ 3.00GHz,"9,600",535,40.68,$235.99 
Intel Core i5-8500B @ 3.00GHz,"9,576",536,49.88,$192.00*
AMD Ryzen 5 PRO 3350G,"9,570",537,NA,NA
Intel Core i5-9400F @ 2.90GHz,"9,548",538,49.66,$192.25 
Intel Xeon D-1541 @ 2.10GHz,"9,544",539,NA,NA
AMD Ryzen 5 2500X,"9,517",540,NA,NA
Intel Xeon E-2174G @ 3.80GHz,"9,502",541,24.44,$388.77*
Intel Core i5-9400 @ 2.90GHz,"9,495",542,39.71,$239.11 
AMD Ryzen 5 PRO 1500,"9,434",543,NA,NA
Intel Xeon Gold 5222 @ 3.80GHz,"9,428",544,7.45,"$1,265.00*"
AMD Ryzen 5 PRO 3400G,"9,403",545,NA,NA
Intel Core i3-1125G4 @ 2.00GHz,"9,397",546,NA,NA
Intel Xeon E5-4655 v3 @ 2.90GHz,"9,377",547,2.03,"$4,616.00*"
AMD Ryzen 5 3400G,"9,362",548,38.53,$242.99 
Intel Core i3-10300 @ 3.70GHz,"9,344",549,49.01,$190.66 
Intel Xeon E5-4627 v2 @ 3.30GHz,"9,320",550,18.68,$498.95*
Intel Core i7-4930K @ 3.40GHz,"9,307",551,51.71,$179.99 
Intel Xeon Silver 4108 @ 1.80GHz,"9,302",552,18.64,$498.95 
Intel Xeon E5-2680 @ 2.70GHz,"9,300",553,94.9,$98.00 
Intel Xeon E-2144G @ 3.60GHz,"9,288",554,30.84,$301.17*
Intel Xeon E3-1285 v6 @ 4.10GHz,"9,276",555,17.24,$537.94*
Intel Xeon E5-1650 v2 @ 3.50GHz,"9,241",556,52.67,$175.47 
Intel Xeon D-1567 @ 2.10GHz,"9,236",557,NA,NA
Intel Xeon D-1587 @ 1.70GHz,"9,223",558,NA,NA
Intel Core i5-8400 @ 2.80GHz,"9,219",559,35.36,$260.70 
Intel Xeon E5-2651 v2 @ 1.80GHz,"9,216",560,33.14,$278.10*
Intel Core i5-9500TE @ 2.20GHz,"9,212",561,47.98,$192.00*
Intel Xeon E3-1275 v6 @ 3.80GHz,"9,206",562,24.45,$376.47 
Intel Core i5-9600T @ 2.30GHz,"9,167",563,43.04,$213.00*
Intel Core i7-9850HL @ 1.90GHz,"9,112",564,23.07,$395.00*
Intel Core i3-10105F @ 3.70GHz,"9,105",565,75.88,$120.00 
Intel Xeon E3-1280 v6 @ 3.90GHz,"9,087",566,16.15,$562.56*
Intel Xeon D-1548 @ 2.00GHz,"9,075",567,16.35,$555.00*
AMD Ryzen 5 1500X,"9,064",568,36.85,$245.99 
Intel Xeon E5-2629 v3 @ 2.40GHz,"9,062",569,18.13,$499.88*
Intel Xeon E5-4648 v3 @ 1.70GHz,"9,061",570,NA,NA
AMD Ryzen 5 3350G,"9,036",571,NA,NA
Intel Xeon E3-1270 v6 @ 3.80GHz,"9,017",572,24.34,$370.49 
Intel Core i3-10105 @ 3.70GHz,"9,007",573,64.34,$139.99 
Intel Xeon E5-2643 v2 @ 3.50GHz,"8,971",574,42.93,$208.95*
Intel Core i7-6700K @ 4.00GHz,"8,970",575,24.58,$364.98 
Intel Core i5-10400H @ 2.60GHz,"8,946",576,35.78,$250.00*
AMD Ryzen 5 3400GE,"8,940",577,NA,NA
Intel Xeon E5-2670 @ 2.60GHz,"8,928",578,59.54,$149.95 
Intel Core i7-10810U @ 1.10GHz,"8,923",579,20.14,$443.00*
Intel Core i5-3170K @ 3.20GHz,"8,882",580,NA,NA
Intel Core i7-1065G7 @ 1.30GHz,"8,845",581,20.76,$426.00*
Intel Xeon E5-2620 v4 @ 2.10GHz,"8,837",582,21.55,$409.99 
Intel Xeon E5-2630L v3 @ 1.80GHz,"8,830",583,18.79,$469.90*
Intel Core i3-10100 @ 3.60GHz,"8,824",584,57.13,$154.47 
Intel Core i7-8559U @ 2.70GHz,"8,797",585,14.26,$617.00*
Intel Core i7-8809G @ 3.10GHz,"8,789",586,NA,NA
Intel Core i3-10100F @ 3.60GHz,"8,776",587,81.64,$107.50 
Intel Core i5-10300H @ 2.50GHz,"8,776",588,35.11,$250.00*
Intel Xeon E3-1240 v6 @ 3.70GHz,"8,773",589,27.25,$321.95 
AMD Ryzen 5 2400G,"8,736",590,41.64,$209.79 
Intel Core i7-8569U @ 2.80GHz,"8,717",591,20.23,$431.00*
Intel Xeon W-2223 @ 3.60GHz,"8,669",592,25.27,$342.99 
Intel Core i7-7700 @ 3.60GHz,"8,620",593,10.88,$792.00 
Intel Core i7-3960X @ 3.30GHz,"8,611",595,4.65,"$1,850.00 "
Intel Xeon E5-2648L v2 @ 1.90GHz,"8,611",594,9.11,$945.00*
Intel Xeon W-2123 @ 3.60GHz,"8,603",596,14.15,$608.00*
Intel Xeon Gold 5122 @ 3.60GHz,"8,598",597,4.2,"$2,047.00 "
Intel Xeon E5-4650 @ 2.70GHz,"8,574",598,107.19,$79.99 
Intel Xeon E3-1245 v6 @ 3.70GHz,"8,533",599,26.5,$321.99*
Apple A14 Bionic,"8,510",600,NA,NA
Intel Core i5-10200H @ 2.40GHz,"8,473",601,33.89,$250.00*
Intel Xeon E5-2665 @ 2.40GHz,"8,457",602,88.09,$96.00 
Intel Core i7-8557U @ 1.70GHz,"8,429",603,19.56,$431.00*
Intel Core i5-1035G7 @ 1.20GHz,"8,426",604,26.33,$320.00*
Intel Core i5-8600T @ 2.30GHz,"8,424",605,42.12,$199.99*
Intel Xeon E5-4650L @ 2.60GHz,"8,415",606,140.28,$59.99 
Intel Xeon E3-1585 v5 @ 3.50GHz,"8,408",607,15.12,$556.00*
Intel Xeon E5-1660 @ 3.30GHz,"8,393",608,31.41,$267.19 
Intel Xeon E3-1275 v5 @ 3.60GHz,"8,389",609,13.98,$599.88 
AMD Ryzen 7 3750H,"8,361",610,NA,NA
AMD Ryzen Embedded V1807B,"8,359",611,NA,NA
Intel Xeon E3-1270 v5 @ 3.60GHz,"8,342",612,21.96,$379.95 
Intel Xeon E3-1280 v5 @ 3.70GHz,"8,320",613,21.06,$395.00*
Intel Xeon E3-1535M v6 @ 3.10GHz,"8,287",614,13.3,$623.00*
Intel Core i5-1035G4 @ 1.10GHz,"8,276",615,26.78,$309.00*
Intel Core i5-9400H @ 2.50GHz,"8,267",616,33.07,$250.00*
Intel Xeon E3-1230 v6 @ 3.50GHz,"8,266",617,24.42,$338.58 
AMD Ryzen 5 PRO 2400G,"8,264",618,NA,NA
Intel Xeon E-2134 @ 3.50GHz,"8,253",619,29.58,$278.99 
Intel Core i3-10300T @ 3.00GHz,"8,247",620,57.67,$143.00*
Intel Xeon E3-1240 v5 @ 3.50GHz,"8,241",621,23.55,$349.95 
Intel Core i5-8400H @ 2.50GHz,"8,219",622,32.87,$250.00*
AMD Ryzen Embedded V1756B,"8,215",623,NA,NA
Intel Xeon E5-2470 @ 2.30GHz,"8,205",624,32.82,$250.00 
AMD Ryzen 5 PRO 3400GE,"8,192",625,NA,NA
Intel Core i5-9500T @ 2.20GHz,"8,178",626,42.6,$192.00*
Intel Xeon E5-2660 @ 2.20GHz,"8,176",627,209.69,$38.99 
Intel Core i7-3970X @ 3.50GHz,"8,152",628,42.91,$189.99 
Intel Core i7-3930K @ 3.20GHz,"8,140",629,17.87,$455.47*
Intel Core i3-10305T @ 3.00GHz,"8,136",630,56.9,$143.00*
Intel Core i7-8706G @ 3.10GHz,"8,136",631,NA,NA
Intel Core i5-8259U @ 2.30GHz,"8,130",632,15.63,$519.99*
Intel Xeon E5-1650 @ 3.20GHz,"8,089",633,14.09,$574.19 
AMD Ryzen 3 4300U,"8,086",634,NA,NA
AMD Ryzen 5 3550H,"8,083",635,NA,NA
Intel Core i5-8279U @ 2.40GHz,"8,075",636,25.23,$320.00*
Intel Core i7-4790K @ 4.00GHz,"8,057",637,30.29,$266.02*
Intel Core i5-8269U @ 2.60GHz,"8,055",638,25.17,$320.00*
Intel Core i7-6700 @ 3.40GHz,"8,053",639,29.62,$271.89 
AMD Opteron 6348,"8,030",641,4.69,"$1,711.48 "
Intel Xeon E3-1245 v5 @ 3.50GHz,"8,030",640,40.15,$199.99 
Intel Xeon E3-1585L v5 @ 3.00GHz,"8,021",642,18.02,$445.00*
Intel Xeon E5-2637 v3 @ 3.50GHz,"7,995",643,83.98,$95.20 
Intel Xeon E3-1285L v4 @ 3.40GHz,"7,975",644,NA,NA
Intel Xeon D-1531 @ 2.20GHz,"7,967",645,22.89,$348.00*
AMD Ryzen 5 2400GE,"7,948",646,NA,NA
AMD Ryzen 5 3500U,"7,944",647,NA,NA
Intel Core i7-8709G @ 3.10GHz,"7,921",648,NA,NA
Intel Xeon E3-1515M v5 @ 2.80GHz,"7,918",649,NA,NA
Intel Xeon E5-2620 v3 @ 2.40GHz,"7,912",650,123.7,$63.96 
Intel Core i7-8705G @ 3.10GHz,"7,911",651,5.15,"$1,535.11*"
Intel Xeon E3-1230 v5 @ 3.40GHz,"7,907",652,10.88,$727.00 
Intel Core i7-7700T @ 2.90GHz,"7,894",653,19.74,$399.99 
Intel Core i5-1035G1 @ 1.00GHz,"7,884",654,26.55,$297.00*
Intel Core i5-8260U @ 1.60GHz,"7,869",655,17.89,$439.99*
Intel Core i5-9300H @ 2.40GHz,"7,858",656,31.43,$250.00*
AMD Ryzen 5 3580U,"7,833",657,NA,NA
AMD Ryzen 5 1400,"7,818",658,43.44,$179.99 
Intel Xeon E3-1545M v5 @ 2.90GHz,"7,806",659,NA,NA
Intel Xeon E5-2640 v2 @ 2.00GHz,"7,784",660,112.81,$69.00 
Intel Core i7-5775C @ 3.30GHz,"7,781",661,13.31,$584.74 
Intel Core i7-7820HK @ 2.90GHz,"7,770",662,20.56,$378.00*
Intel Core i3-9350K @ 4.00GHz,"7,760",663,26.46,$293.22*
Intel Core i7-5950HQ @ 2.90GHz,"7,759",664,NA,NA
Intel Xeon E3-1260L v5 @ 2.90GHz,"7,757",665,10.54,$736.16*
Intel Xeon D-2123IT @ 2.20GHz,"7,731",666,36.3,$213.00*
Intel Xeon E3-1575M v5 @ 3.00GHz,"7,721",667,6.4,"$1,207.00*"
AMD Ryzen 3 PRO 1300,"7,717",668,NA,NA
Intel Core i5-9400T @ 1.80GHz,"7,714",669,42.38,$182.00*
AMD Athlon Gold PRO 3150G,"7,702",670,NA,NA
Intel Core i7-7920HQ @ 3.10GHz,"7,683",671,13.53,$568.00*
AMD Ryzen 5 3550U,"7,681",672,NA,NA
Intel Core i5-8500T @ 2.10GHz,"7,678",673,31.02,$247.53*
Intel Core i5-8257U @ 1.40GHz,"7,662",675,23.94,$320.00*
Intel Xeon E3-1270L v4 @ 3.00GHz,"7,662",674,NA,NA
Intel Core i3-10105T @ 3.00GHz,"7,661",676,62.79,$122.00*
AMD Ryzen 7 2800H,"7,656",677,NA,NA
Intel Core i5-9300HF @ 2.40GHz,"7,633",678,30.53,$250.00*
Intel Xeon E3-1285 v4 @ 3.50GHz,"7,614",679,NA,NA
ARM Cortex-A72 8 Core 0 MHz,"7,605",680,NA,NA
Intel Xeon E-2124G @ 3.40GHz,"7,549",681,32.82,$229.99 
Intel Xeon E5-1630 v4 @ 3.70GHz,"7,546",682,NA,NA
Intel Core i5-8300H @ 2.30GHz,"7,541",683,30.16,$250.00*
AMD Ryzen 5 2600H,"7,537",684,NA,NA
AMD Ryzen 5 PRO 2400GE,"7,524",685,NA,NA
Intel Core i3-9350KF @ 4.00GHz,"7,520",686,34.18,$219.99 
AMD Ryzen 3 2300X,"7,498",687,42.1,$178.09*
Intel Xeon E3-1535M v5 @ 2.90GHz,"7,493",688,12.03,$623.00*
Intel Xeon E5-2650L v2 @ 1.70GHz,"7,475",689,94.62,$79.00 
Intel Core i3-10100T @ 3.00GHz,"7,469",691,61.22,$122.00*
Intel Xeon E5-2623 v4 @ 2.60GHz,"7,469",690,49.96,$149.50 
Intel Xeon E-2224G @ 3.50GHz,"7,466",692,26.23,$284.63*
Intel Xeon E5-1630 v3 @ 3.70GHz,"7,463",693,40.34,$184.99*
Intel Core i7-7820EQ @ 3.00GHz,"7,453",694,19.72,$378.00*
Intel Xeon E5-2630 v2 @ 2.60GHz,"7,451",695,155.92,$47.79 
Intel Core i7-6920HQ @ 2.90GHz,"7,447",696,13.11,$568.00*
Intel Xeon E-2224 @ 3.40GHz,"7,438",697,32.38,$229.71 
AMD Ryzen 3 3200GE,"7,434",698,NA,NA
Intel Xeon E5-2667 @ 2.90GHz,"7,425",699,116.12,$63.94 
Intel Xeon E3-1271 v3 @ 3.60GHz,"7,423",700,49.49,$149.99 
Intel Xeon E3-1286 v3 @ 3.70GHz,"7,418",701,8.84,$839.00*
Intel Xeon E5-1620 v4 @ 3.50GHz,"7,403",702,23.15,$319.80 
AMD Ryzen 7 3780U,"7,386",703,NA,NA
Intel Xeon E5-2623 v3 @ 3.00GHz,"7,382",704,29.53,$249.95*
Intel Xeon E3-1276 v3 @ 3.60GHz,"7,381",705,46.17,$159.88 
Intel Core i7-5775R @ 3.30GHz,"7,373",706,NA,NA
AMD Ryzen 7 PRO 3700U,"7,367",707,NA,NA
Intel Xeon @ 2.00GHz,"7,363",708,NA,NA
Intel Core i3-9320 @ 3.70GHz,"7,358",709,33.45,$219.99 
AMD Ryzen 7 3700U,"7,356",710,NA,NA
AMD Opteron 6380,"7,336",711,8.55,$857.99 
Intel Xeon E5-2450 @ 2.10GHz,"7,321",712,36.61,$199.95 
Intel Xeon E5-2650 @ 2.00GHz,"7,320",713,146.42,$49.99 
Intel Core i5-8400T @ 1.70GHz,"7,317",714,30.51,$239.84*
Intel Core i7-1060NG7 @ 1.20GHz,"7,316",715,NA,NA
Intel Xeon E5-4640 @ 2.40GHz,"7,308",716,121.83,$59.99 
AMD Opteron 6281,"7,279",717,NA,NA
Intel Core i3-9300 @ 3.70GHz,"7,279",718,34.66,$209.99 
Intel Core i7-6700T @ 2.80GHz,"7,273",719,3.64,"$1,999.00*"
Intel Core i7-990X @ 3.47GHz,"7,251",720,4.83,"$1,500.19 "
Intel Core i7-6770HQ @ 2.60GHz,"7,237",721,11.69,$619.00*
AMD Athlon Gold PRO 3150GE,"7,231",722,NA,NA
Intel Xeon E5-4610 v3 @ 1.70GHz,"7,229",723,5.93,"$1,219.00*"
AMD Ryzen 3 3200G,"7,223",724,72.24,$99.99 
Intel Xeon E3-1270 v3 @ 3.50GHz,"7,222",725,12.35,$585.00*
Intel Core i7-4790 @ 3.60GHz,"7,217",726,32.52,$221.92 
Intel Xeon E3-1281 v3 @ 3.70GHz,"7,210",727,13.2,$546.25*
AMD Ryzen 7 PRO 2700U,"7,190",728,NA,NA
Intel Xeon E5-2628L v2 @ 1.90GHz,"7,181",729,NA,NA
Intel Core i7-10610U @ 1.80GHz,"7,176",731,17.54,$409.00*
Intel Xeon D-1537 @ 1.70GHz,"7,176",730,12.57,$571.00*
Intel Xeon D-1539 @ 1.60GHz,"7,175",732,14.76,$486.00*
Intel Xeon E3-1246 v3 @ 3.50GHz,"7,168",733,47.79,$149.99 
